timestamp,pos,vel,start,setSpeed,waterValve,torque,waterFlow,waterTemp,P0,P1,P2,P3,T0,T1,waterPump,solenoidValve,mixer
1761225469748968400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20797,56,20448,13569,6313,2357,32770,297,203,false,false,false
1761225469936968700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21709,34,20448,13644,6414,2398,32770,297,203,false,false,false
1761225470123969800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23077,78,20295,13457,6266,2326,32770,297,203,false,false,false
1761225470314965200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21165,78,20426,13402,6147,2254,32770,296,203,false,false,false
1761225470502996200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20482,78,20470,13397,6151,2230,32770,296,203,false,false,false
1761225470697013000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20429,99,20448,13290,6034,2196,32770,296,202,false,false,false
1761225470894970600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19692,56,20207,13315,6023,2202,32770,296,202,false,false,false
1761225471084965600,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,19955,99,20426,13269,6046,2201,32770,296,202,false,false,false
1761225471276201200,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21586,78,20426,13147,5997,2192,32770,296,202,false,false,false
1761225471466047000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,17202,78,20448,13203,5959,2150,32770,296,202,false,false,false
1761225471656353000,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,18728,56,20470,13170,5987,2155,32770,296,202,false,false,false
1761225471854378500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,20517,99,20426,12957,5858,2119,32770,296,202,false,false,false
1761225472056134400,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,17062,56,20470,13143,5879,2134,32770,297,202,false,false,false
1761225472253928700,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,23673,78,20448,13059,5886,2186,32770,297,202,false,false,false
1761225472450893800,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,21639,56,20448,12927,5814,2183,32770,297,202,false,false,false
1761225472643894500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,16501,56,20514,13058,5953,2201,32770,297,202,false,false,false
1761225472836896500,"[100,1160,500,359.99580000000003,0]","[0,0,0,0,0]",true,0,40,22761,56,20470,12977,5863,2201,32770,297,202,false,false,false
